house_id,coordinates_lat,coordinates_lng,date,trap_type,trap_location,any_meassures,adult_house,kids_house,young_kids_house,adult_room,kids_room,young_kids_room,sleep_outdoors,cook,gambiae_count,funestus_count,funestus_parensis,funestus_funestus,funestus_leesoni,gambiae_arabiensis,gambiae_quadrianulatus,gambiae_merus
6078-018,-24.48696329,32.10750507,9/20/17,1,2,0,NA,NA,NA,NA,NA,NA,2,NA,0,0,0,0,0,0,0,0
6002-068,-24.80451261,32.84797148,12/1/16,2,1,1,2,0,0,2,0,0,NA,2,0,0,0,0,0,0,0,0
6011-065,-24.56794404,32.66127558,1/6/16,1,2,0,NA,NA,NA,NA,NA,NA,2,NA,0,0,0,0,0,0,0,0
6011-063,-24.56721629,32.66373573,8/2/16,2,1,1,1,0,0,1,0,0,NA,2,0,0,0,0,0,0,0,0
6045-274,-25.03372567,32.63062198,4/22/16,2,1,1,1,0,0,1,0,0,NA,2,0,0,0,0,0,0,0,0
6018-033,-24.89286543,32.34995696,10/26/17,1,1,1,1,0,0,1,0,0,NA,2,0,0,0,0,0,0,0,0
3612-010,-25.04998221,32.75755787,10/17/17,2,2,0,NA,NA,NA,NA,NA,NA,2,NA,0,0,0,0,0,0,0,0
6011-030,-24.5660178,32.66614446,12/2/15,1,2,0,NA,NA,NA,NA,NA,NA,2,NA,0,0,0,0,0,0,0,0
6001-085,-24.80497836,32.86124573,7/7/15,1,2,0,NA,NA,NA,NA,NA,NA,2,NA,0,0,0,0,0,0,0,0
6002-068,-24.80445951,32.84792069,6/16/17,2,1,1,2,0,0,2,0,0,NA,2,0,0,0,0,0,0,0,0
6072-027,-25.15380368,32.48410256,5/25/17,2,2,0,NA,NA,NA,NA,NA,NA,2,NA,0,0,0,0,0,0,0,0
6072-011,-25.16133268,32.48663678,4/28/16,1,2,0,NA,NA,NA,NA,NA,NA,2,NA,0,0,0,0,0,0,0,0
6078-002,-24.48897679,32.1324147,5/26/15,1,2,0,NA,NA,NA,NA,NA,NA,2,NA,0,0,0,0,0,0,0,0
6011-063,-24.56710034,32.66359413,5/10/16,1,2,0,NA,NA,NA,NA,NA,NA,2,NA,0,0,0,0,0,0,0,0
6001-093,-24.80358319,32.85957718,12/3/15,1,2,0,NA,NA,NA,NA,NA,NA,2,NA,0,0,0,0,0,0,0,0
3609-091,-25.05235839,32.78222295,10/14/16,1,2,0,NA,NA,NA,NA,NA,NA,2,NA,0,0,0,0,0,0,0,0
6018-022,-24.88979074,32.3433812,6/17/15,2,1,1,1,0,0,1,0,0,NA,2,0,0,0,0,0,0,0,0
6011-056,-24.56159713,32.65578804,10/6/16,2,1,1,1,0,0,1,0,0,NA,2,0,0,0,0,0,0,0,0
6072-018,-25.15781775,32.48764488,2/26/16,1,2,0,NA,NA,NA,NA,NA,NA,2,NA,0,0,0,0,0,0,0,0
6046-169,-25.03029647,32.65113935,7/7/17,1,2,0,NA,NA,NA,NA,NA,NA,2,NA,0,0,0,0,0,0,0,0
6072-131,-25.14932905,32.49132731,5/26/16,2,2,1,1,0,0,1,0,0,NA,2,0,0,0,0,0,0,0,0
6045-353,-25.03738751,32.61463053,5/11/17,2,1,1,2,0,0,2,0,0,NA,2,0,0,0,0,0,0,0,0
6078-014,-24.48933947,32.11091546,9/15/15,1,2,0,NA,NA,NA,NA,NA,NA,2,NA,0,0,0,0,0,0,0,0
6044-370,-25.02971525,32.63923461,10/21/16,2,1,1,1,0,0,1,0,0,NA,2,0,0,0,0,0,0,0,0
